Day;T_mean;T_max;T_min;GlobRad_mean
1;1,4;5,1;-2,4;4,83
2;0;0,9;-1,8;0,94
3;5,3;9,2;0,9;1,46
4;5,6;7,2;2,6;2,23
5;5,9;7,3;2,8;1,12
6;0,2;3,4;-1,5;1,4
7;3,7;8,9;0,8;2,55
8;5,2;6,5;2,7;0,6
9;8,6;11,6;6,3;0,58
10;8,4;10,5;3,8;2,47
11;3,4;6,8;-0,7;4,11
12;3;6,5;-2,1;1,82
13;5,8;6,6;5,1;1,03
14;7,8;11,1;2,9;2,07
15;10,5;14,1;6,3;5,54
16;8,1;14,7;2,1;5,63
17;3,2;7,6;0,2;1,67
18;4,1;7,5;0,5;3,36
19;3,6;5,8;0,6;3,1
20;4,2;7,2;-1,2;5,21
21;0,3;6,9;-3,8;7,3
22;-2,4;-0,6;-5,6;1,94
23;1,1;3,1;-0,8;1,35
24;0,5;1,2;-0,2;1,47
25;0,7;1,7;-0,2;1,18
26;1,6;2,6;0,3;1,27
27;4,7;8;2;1,2
28;5,4;8,4;2,3;4,41
29;4,7;8,6;1,6;5,2
30;7;10,2;3,5;4,68
31;12,5;14,9;8,8;3,93
32;11,5;12,9;7,6;1,3
33;9,8;14,9;6;1,69
34;10,5;12,8;7,8;3,83
35;5,3;7,5;4,1;6,4
36;4,7;9,5;-1;8,82
37;1,2;6,7;-3;7,22
38;1,1;7,2;-3,5;7,49
39;0,7;3,4;-2,7;2,85
40;6,5;13,1;-1,4;2,72
41;8,9;11,8;5,6;5,33
42;6,1;8,5;3,9;6,62
43;4,4;7,1;0,3;5
44;3,3;6,7;-0,3;2,11
45;6,6;9,3;2;3,9
46;5,4;12,5;-0,2;8,39
47;13;17,5;5,3;5,83
48;8,5;15,5;4,2;2,98
49;7,3;9,6;5,7;6,04
50;6,2;9,1;1,3;9,13
51;7,6;10,8;3,8;5,31
52;5,9;9,2;2,1;9,31
53;7;11,5;0,1;4,68
54;11;13,7;7,7;1,15
55;7,9;12,3;5;2,45
56;8,7;11,7;3,9;7,24
57;4,4;7,3;2,5;6,39
58;2,7;4,3;0,2;1,74
59;4,9;8;0,3;11,33
60;8,8;15,7;4,1;6,73
61;7,6;12,1;2,9;9,96
62;6,2;10;3,1;7,01
63;5,3;9,2;0,6;10,74
64;4,6;10,1;-0,4;8,76
65;5,3;7,6;3,4;1,17
66;6,6;8,4;5,5;2,42
67;5,9;9,6;2,9;7,84
68;8,5;13;4,2;8,74
69;8;11,4;3,8;10,82
70;9,1;14,8;3,9;2,79
71;14,3;15,4;13,2;3,61
72;11,3;14,2;5,6;7,11
73;7,6;11;2,8;12,55
74;5,6;11,2;1,6;9,93
75;8,7;15,5;3,8;15,66
76;10;18,8;0,8;15,1
77;11,9;18;7;12,43
78;9,6;17,7;3;9,03
79;11,2;19;3,8;15,42
80;12,4;18,3;7,9;12,84
81;6,1;8,1;3,7;4,98
82;5,2;10,2;1,4;19,47
83;3,6;8,9;-1,4;19,6
84;3,8;9,9;-1,5;19,77
85;5,1;11,5;-1,8;19,74
86;6,4;10,9;2;17,84
87;9,9;17,4;1,8;18,47
88;12;19,5;4,3;18,02
89;5,5;8,2;2,4;7,1
90;4,5;10,6;-1,3;21,2
91;6,1;10;-0,2;21,18
92;4,4;12,4;-2,8;21,06
93;6,8;15,4;-2,4;20,48
94;7,5;12,9;0,6;8,64
95;7,7;15,3;-0,6;21,62
96;11,1;19,7;0,7;21,84
97;12,9;23,5;2,2;21,68
98;15,3;24,2;6,3;21,3
99;15,7;24,2;7,9;21,41
100;16,6;25,9;8,5;18,49
101;16,2;23,5;8,9;22,27
102;14,8;23;6,3;22,68
103;15,2;24,6;6,9;16,03
104;9,5;13,9;1,5;8,6
105;6,4;13,2;-1;20,07
106;8,8;18;0,1;22,02
107;13,6;25,7;1,6;22,03
108;16,5;25,5;6,8;19,48
109;15,5;24,8;9,3;14,57
110;14,2;18,7;9,3;15,17
111;14,5;20,5;9,6;25,21
112;15,9;22,1;10,2;25,66
113;16,6;23,3;8,5;25,83
114;15,2;23,2;6,6;25,56
115;15,1;24,6;5,9;22,56
116;12,9;18,9;8,4;26,29
117;13,2;21,4;3,7;26,09
118;14,5;24;3,9;24,22
119;13,2;18,4;8;10,79
120;14,3;19;9,2;17,22
121;12,4;15,8;8,9;11,39
122;10,5;15,2;7,7;14
123;9,8;14,6;4,8;19,92
124;11,6;18,1;2,9;18,89
125;12,4;18,4;6,8;13,59
126;10,8;17,4;4,4;24,06
127;10,9;18,2;2;27,89
128;13,6;22,5;2,6;27,45
129;17;25,5;7,7;24,25
130;14,2;18,1;11,1;6,99
131;16,1;25,7;10,4;17,27
132;8,2;16,4;4,1;4,89
133;9,1;14,9;2,4;28,16
134;10,9;16,1;3;21,39
135;11,2;16,6;5,6;21,84
136;13;19,2;6,8;26,61
137;13,5;20,6;4,6;27,64
138;14,7;20,9;8,7;28,67
139;17,1;25,6;6,4;28,1
140;19,3;25,8;10,2;27,65
141;19,5;25,3;13;22,17
142;19,3;27;11;28,02
143;20,2;26,4;12,4;13,45
144;14,2;17,9;9,2;9,85
145;14;18,4;6,3;19,35
146;15,7;20,8;9,9;20,36
147;15,9;21,1;8,8;25,73
148;17,5;24,7;7;28,85
149;18,5;22,9;9,8;30,33
150;16,8;22,8;7,5;30,53
151;17,5;22,4;9,1;28,77
152;16,6;21,7;9,4;29,36
153;19,1;26,6;9,1;30,12
154;20,9;28,7;12;29,04
155;20;27,2;12,9;19,68
156;15,3;18,4;10,1;7,15
157;12;15,6;7,3;9,03
158;12,6;18,9;6,6;18,21
159;14,3;19,6;7,2;15,92
160;15,7;22,7;7;24,69
161;16,6;20,8;12,3;17,35
162;15,8;19,2;14;8,39
163;16,3;20,3;12,1;15,68
164;20,4;28,9;9,7;28,17
165;22,1;27,8;17,3;18,6
166;19,4;21,5;16,9;10,39
167;18,7;21,9;15,7;8,94
168;17,9;21,4;14,5;13,44
169;18;24,6;13,3;15,59
170;18,6;24,8;13,3;23,57
171;18,8;25,8;11;25,5
172;18,1;23,4;11,6;17,44
