Day;T_mean;T_max;T_min;GlobRad
1;     7,1;     8,4;     4,7;0,69
2;     3,3;     6,0;    -1,2;1,89
3;     1,4;     4,1;    -3,0;2,59
4;     3,1;     5,4;    -0,2;2,34
5;     5,9;     7,5;     3,6;0,65
6;     5,9;     6,5;     4,9;1,91
7;     5,6;     8,3;     4,7;3,18
8;     6,2;     7,5;     4,8;1,78
9;     3,7;     5,5;     2,5;2,19
10;     1,6;     2,6;    -0,4;1,98
11;     1,9;     5,2;    -0,3;1,08
12;     5,8;     7,4;     4,6;0,78
13;     8,2;    10,5;     6,3;1,15
14;     5,4;     7,5;     3,1;3,84
15;     4,9;     7,2;     1,6;2,04
16;     5,1;     6,8;     3,7;2,13
17;     5,4;     9,0;     2,5;4,55
18;     1,6;     5,5;    -2,3;4,17
19;    -1,4;     2,9;    -5,6;6,50
20;    -2,9;     1,1;    -6,3;5,59
21;    -3,7;     2,3;    -7,0;7,60
22;    -4,6;    -1,4;    -9,2;1,18
23;    -1,7;    -1,1;    -2,2;1,71
24;    -2,0;    -1,2;    -2,7;1,40
25;    -0,6;     2,5;    -2,9;2,87
26;     3,6;     5,5;     0,6;1,62
27;     5,4;     7,8;     2,5;2,63
28;     2,9;     4,6;     1,5;1,73
29;     1,7;     3,7;    -0,8;2,58
30;     0,4;     1,9;    -1,3;0,98
31;    -0,4;     2,2;    -3,6;1,52
32;     1,6;     4,2;    -0,3;2,93
33;     3,0;     4,7;     1,6;1,99
34;     2,7;     5,5;    -0,5;2,91
35;     0,4;     5,5;    -3,7;6,78
36;     2,3;     5,5;    -0,4;3,39
37;     0,1;     6,7;    -3,4;5,47
38;     1,1;     4,7;    -1,4;2,53
39;     5,7;     8,2;     1,2;1,96
40;     8,1;    11,5;     5,5;6,34
41;     6,7;    10,0;     4,0;1,68
42;     5,2;     8,3;     1,0;4,45
43;     3,5;     7,5;    -0,9;5,01
44;     2,1;    10,1;    -3,0;9,97
45;     2,6;    11,2;    -3,3;10,01
46;     4,0;    15,2;    -3,3;11,13
47;     4,1;    13,9;    -2,4;10,90
48;     3,8;    13,2;    -1,7;9,94
49;     4,6;    13,6;    -2,5;10,96
50;     4,8;    12,6;     0,3;6,93
51;     4,7;    12,5;    -1,0;9,46
52;     5,9;    13,8;     0,3;5,33
53;     9,5;    14,0;     3,2;5,22
54;     5,4;     9,2;     1,9;10,50
55;     4,7;    13,8;    -1,6;12,23
56;     6,6;    17,4;    -1,7;12,51
57;     8,1;    20,5;    -1,0;12,91
58;     8,1;    20,2;    -1,4;13,32
59;     9,1;    19,8;    -0,2;11,57
60;     8,8;    12,6;     5,9;5,70
61;     8,8;    12,6;     5,9;4,37
62;    10,3;    11,8;     7,4;1,33
63;     9,5;    12,6;     5,7;7,64
64;     6,5;     9,1;     3,6;3,89
65;     9,6;    15,8;     4,0;9,03
66;    10,6;    13,2;     7,7;11,15
67;     8,3;    11,4;     5,8;8,05
68;    10,5;    13,5;     5,7;6,29
69;    10,2;    16,7;     4,6;10,00
70;     6,1;     8,8;     3,3;14,06
71;     6,3;    10,5;     0,4;9,73
72;     6,6;     8,7;     4,5;6,82
