DayOfYear;GlobRad95;Temp95
1;2,47;1,67
2;1,88;0,34
3;3,34;-1,97
4;1,53;-7,15
5;2,02;-8,68
6;2,12;-8,89
7;0,93;-9,15
8;2,55;-5,58
9;1,53;0,21
10;2,58;3,19
11;2,22;1,32
12;2,29;0,3
13;4,07;-2,39
14;1,29;0,36
15;1,01;2,83
16;2,67;2,23
17;3,89;2,54
18;0,62;2,87
19;3,61;2,78
20;1,35;4,89
21;3,17;4,29
22;1,52;6,48
23;3,67;6,53
24;3,07;5,02
25;1,9;3,53
26;1,45;8,69
27;2,31;2,26
28;1,26;5,41
29;1,64;7,09
30;4,38;3,22
31;2,81;1,61
32;2,11;8,39
33;3,06;4,45
34;2,54;2,48
35;1,25;5,78
36;4,49;5,69
37;1,16;9,09
38;0,71;7,91
39;0,83;1,69
40;6,37;-0,15
41;5,07;0,2
42;3,79;6,53
43;6,05;8,98
44;6,52;8,17
45;2,64;7,94
46;3,42;8,1
47;2,86;7,49
48;5,72;6,97
49;3,25;4,78
50;2,54;5,78
51;7,85;8,84
52;5;8,67
53;9,24;5,39
54;4,4;4
55;3,38;3,58
56;3;2,57
57;3,95;2,13
58;7,17;3,34
59;1,79;7,81
60;3,2;9,52
61;7,27;3,64
62;9,82;4,87
63;8,71;2,4
64;4,92;1,87
65;3,17;3,18
66;9,77;3,08
67;4,91;3,61
68;6,59;3,15
69;12,08;3,65
70;10,69;5,06
71;11,1;4,11
72;7,33;3,15
73;10,16;-0,65
74;3,65;-0,64
75;8,59;2,2
76;3,95;6,29
77;6,8;5,96
78;8,9;4,97
79;8,98;3,59
80;8,9;3,93
81;9,94;3,06
82;13,96;5,94
83;10,43;8,5
84;10;6,95
85;4,57;5,16
86;9,73;3,17
87;11,29;0,59
88;13,8;0,44
89;16,37;2,09
90;2,86;2,92
91;3,31;8,67
92;15,05;13,29
93;7,76;10,16
94;9,47;8,01
95;16,83;6,43
96;5,75;9,79
97;3,95;8,68
98;15,33;5,05
99;7,69;3,34
100;3,36;6,47
101;6,53;7,6
102;7,55;7,71
103;12,33;6,9
104;20,76;6,72
105;9,7;6,95
106;9,66;5,54
107;4,18;5,2
108;7,13;7,37
109;14,49;4,74
110;17,42;5,63
111;18,43;7,28
112;16,39;11,87
113;19,39;15,22
114;21,98;17,99
115;19,57;15,64
116;17,41;13,19
117;10,11;9,4
118;7,75;6,87
119;20,89;9,07
120;10,08;10,85
121;20,31;13,48
122;23,26;12,6
123;24,23;13,66
124;22,66;14,68
125;23,01;16,01
126;21,42;15,13
127;23,86;12,68
128;13,88;14,14
129;10,08;9,66
130;10,2;8,44
131;18,46;9,29
132;13,82;9,79
133;5,6;9,02
134;16,87;7,67
135;18,21;8,24
136;19,6;10,08
137;8,3;11,03
138;4,56;8,46
139;20,22;8,62
140;23,69;10,02
141;17,12;8,93
142;26,65;9,58
143;23,14;14,71
144;24,04;18,23
145;16,94;18,64
146;8,82;15,99
147;2,35;12,42
148;26,14;17,6
149;6,71;17,29
150;7,1;14,15
151;7,64;13,48
152;4,67;11,96
153;8,87;11,88
154;16,93;13,86
155;11,08;14,28
156;22,02;14,9
157;16,22;13,9
158;8,35;13,12
159;18,15;11,16
160;19,24;11,28
161;11,19;11,12
162;16,9;11,36
163;17,13;11,92
164;8,56;12,22
165;9,95;12
166;11,03;11,91
167;10,92;11,29
168;9,69;12,26
169;15,46;14,77
170;22,11;15,76
171;23,19;19,37
172;17,17;18,11
173;14,87;11,1
174;8,3;12,86
175;18,18;14,61
176;23,56;19,51
177;27,8;19,99
178;27,14;20,8
179;27,58;19,87
180;27,97;18,79
181;26,62;18,01
182;17,65;15,9
183;11,77;14,53
184;13,94;17,99
185;11,27;13,68
186;3,83;15,82
187;24,78;15,42
188;21,89;18,08
189;25,27;21,29
190;24,48;22,7
191;23,28;23,49
192;22,52;23,18
193;22,24;20,96
194;20,14;23,09
195;15,39;21,68
196;13,95;20,02
197;19,4;20,44
198;14,27;18,24
199;15,55;17,93
200;8,84;17,33
201;20,33;21,27
202;23,85;23,28
203;23,28;26,03
204;8,77;19,3
205;25,16;15,74
206;23,58;17,48
207;24,34;18,07
208;23,23;20,18
209;12,79;20,7
210;9,96;18,96
211;22,88;21,98
212;23,7;22,55
213;23,55;23,52
214;23,65;22,37
215;24,46;20,83
216;21,13;20,13
217;18,78;18,6
218;22,28;19,86
219;18,59;22,91
220;20,4;18,32
221;19,77;17,03
222;23,42;17,01
223;22,25;18,31
224;22,97;20,66
225;21,56;22,52
226;11,98;22,42
227;14,5;18,39
228;9,6;16,09
229;11,81;17,93
230;20,51;19,62
231;18,06;21,59
232;15,6;22,22
233;15,05;20,94
234;16,79;22,36
235;14,11;22,03
236;11,66;19,12
237;9,3;17,53
238;11,48;16,72
239;10,72;14,38
240;6,83;12,17
241;10,71;12,17
242;14,37;12,36
243;6,98;12,25
244;4,56;13,54
245;13,87;13,18
246;8,17;14,17
247;5,7;12,95
248;15,07;15,25
249;12,68;15,15
250;10,4;15,96
251;11,43;16,5
252;7,38;15,97
253;9,19;16,06
254;6,84;15,75
255;15,1;16,16
256;4,28;15,26
257;7,82;14,56
